word、PPT	生物信息工程师
销售软件	售后维修工程师
可靠性工程	可靠性工程师
PDM	结构设计
嵌入式操作系统	嵌入式软件工程师,软件开发工程师
Offices系列办公软件	土建施工员
QC	质量/测试经理,软件测试,软件测试工程师
Operating Systems-AIX	咨询师,IT specialist,投资经理,软件工程师，高级软件工程师,IT技术支持,db2,系统管理员、DBA
化学分析工（中级）	化工实验室研究员/技术员
网络通讯、JSON解析、HTTP协议、数	Android软件开发
ORACLE	数据库开发,项目经理,银行业务测试,初级软件测试工程师
地理信息系统 (GIS)	软件工程师、WEB前端开发
掌握运用Spring、Struts2、H	java软件工程
MAGMA模流分析	工模部
c语言程序设计	机械电子，工业自动化
渠道支持	区域销售经理
网络维护	电子商务,企业管理,数据部管理员
Flash	C++软件工程师,工业设计师，平面设计师,UI设计,淘宝运营助理,网站制作,编辑,游戏原画,行政/文员助理,农业产业化企业,网页设计
法语水平认证	行政文员
路由、交换、防火墙技术	高级网络工程师
Windows Develop-COM\/DCOM	MPLS Software Engineer,高级工程师,软件工程师,技术经理,售前技术支持,产品主管
网络分析仪	Digital VLSI (IC) Design / Layout
ADO.NET开发	高级软件工程师
J2ME	java软件开发工程师
注册税务师	CFO,审计总监
J2EE企业级开发框架	高级JAVA软件工程师
熟悉数字图像处理算法及其应用，具有图	研发工程师
Visual	Linux驱动开发工程师
开发和维护客户	销售经理、区域经理
Struts Hibernate Spring	java软件开发工程师
测绘	技术工程师
双色成型	生产经理
翻译服务	bid support specialist,英语教师、外企职员,翻译 助理,行政；翻译,翻译、市场营销类、国际贸易与实务类、人力资源类、销售类、管理培训生、营销类,海外销售主管,英语,英语翻译 英语教师 外贸专员,翻译,翻译，教育培训，销售
windows OS	IT工程师、系统（含集成）工程师、网络管理、运维、网络、技术支持工程师/经理
OS- windows 7/8	项目执行
Operating Systems-LINUX	软件工程师,软件测试,产品经理,嵌入式软件工程师,技术主管,android软件工程师,软件测试工程师,数据库管理员,软件开发工程师,网络管理员
C语言、C++	数据库工程师
Windows Server	ERP实施顾问
儿科护理	翻译，外贸，医学类
OrCAD	电子工程师,技术总监
熟悉 操作系统WINDOWS/LINUX	售前、网络安全、网络工程、安全
产品开发方法	产品  软件  支持  开发
dw	网络设计主管
3D动画图形	室内设计师
绘声绘影，iebook，PS	活动策划
计算机辅助设计（CAD）	市场开发部业务主管
Cocos-2D	cocos2d
熟练操作OFFICE等办公软件	呼叫专员
犀牛、3dmax、skehup	设计
CADD （计算机辅助设计和制图）	机械工程师,土建工程师,工程师,消防员，驾驶员,项目管理,管理岗位 设计岗位,文员 平面绘图,现场施工员,结构工程师,CAD
Web Develop-DHTML	运维工程师,事业部技术总监（TD）,实施顾问,java web 程序,测试工程师
SDL Trados	英语翻译
Matlab语言	嵌入式工程师
OFFICE系列办公软件 	产品助理
银行从业资格  	金融财务职位
AVR 单片机   	电子工程师
c++，java等编程语言	软件工程师
CAD软件画图	电气工程师
HTML、CSS、JavaScript	java软件工程师
ssh三大框架	java程序员
ILLUSTRATOR	人事经理
CAD  SOLIDWORKS	机械设计工程师
mysql	软件工程师,软件测试工程师,java程序员,软件开发,实施工程师,PHP程序员,前端工程师,测试工程师,php程序员,JAVA软件开发工程师
安装 - 暖通空调	暖通技术员
Database-Interbase	Product Management
测试分析和测试设计	软件测试工程师
软件测试理论知识与方法	自动化测试工程师
中华人民共和国职业资格证书（网管中级）	人事主管
Android	软件工程师,android软件工程师,软件开发,Android Developer,Android软件开发工程师,iOS软件工程师,高级技术经理,软件工程师、javaweb开发,高级Android开发工程师
Tcl/OTcl,gawk	软件开发工程师
ISO 14001	环保工程师；环境安全顾问/咨询；环境健康安全（EHS）工程师,营销培训管理、人事行政管理 综合管理
无线通信	企业中高层管理岗位
熟练操作PRO/E	模具设计工程师
dialux	研发部    光电子工程师
3dmax	设计师,室内设计师,项目助理,企划总监,UI设计师,三维设计
成本管理	会计主管
UG5.0	连铸工艺工程师
java软件工程师	java软件工程师
biee	数据库开发
计算机与网络技术（TCP/IP协议、网络	销售
全国计算机二级	软件测试
数据库管理软件/系统 (DBMS)	软件工程师,销售经理,IBM市场数据分析师
C	软件工程师,资深电子工程师,软件助理工程师,会计,unity游戏开发,Development Engineer,Android开发工程师,Android程序员,java软件工程师,游戏策划
金融学	各种,会计助理
UC编程	程序员
全国计算机NIT证书	会计助理
法律法规	法务专员、合规专员、律师,区域经理/销售工程师,法务 人力资源  销售,人事行政专员,企业法务专员 人事助理 银行金融机构综合管理人员,投资银行业务；律师/法务/合规
Ｃ语言	软件开发工程师
Bar Code系统	仓库管理
svn,Spring MVC开发	java开发工程师
My SQL	实施工程师
Firework	UI设计,产品经理
Lunix	项目实施,java软件工程师
html5	产品经理 需求分析 开发 测试
Microsoft IIS网络服务器 (互联网信息服务)	.net 软件开发，ERP,软件测试工程师
Socket网络编程、TCP/IP协议栈	嵌入式C开发
驾照(C1)	车间主任，现场管理，采购
particleIllusion3	flash工程师
办公用品管理	文员、经理助理、财务助理
SSH(Struts2+Spring+Hibernate) 	java工程师
corelDRAW	总经理助理,服装设计助理
预算管理	高级咨询顾问,高级软开
品牌推广	试用
广播电视系统	图像处理
Sqlserver	android开发
Nagios	linux系统工程师+数据库管理员
edius	影视后期/广告制作,影视后期制作,分镜 原画 漫画 插画 漫画编辑
JDBC,DWR	JAVA高级软件开发工程师
Cocos2d	IOS游戏开发工程师,软件工程师,ios开发,IOS应用软件开发,IOS开发工程师
http协议，HttpClient从网络	Android 开发工程师 
SQL数据库	软件工程师,软件测试工程师,Java工程师,校园大使,数据库管理员,date cleaning,测试工程师,实施工程师,计算机相关专业,windows开发工程师
MS Visual Studio	图像处理
RCSP (Riverbed)	项目经理
ARM汇编	嵌入式软件设计
word、excel、ppt 办公软件	会计
IT运营	售前
MS Sqlserver	软件开发工程师
通信软件	软件测试工程师
Unity3D游戏开发技术	Java开发
电子商务师	销售经理
日语	日语翻译,英语教师 外贸业务员 翻译,体育老师,日语翻译或物流管理相关,区域经理,客户经理,软件工程师,采购、顾问、销售,行政专员/助理 文员 教师 ,商务助理,二维动画漫画师
平面设计	平面设计师,设计师,平面设计,人力、企化专员,竞价专员、优化、美工、平面设计,美编,影视后期制作,资深设计师,总经理助理,销售管理
工艺质量	java软件开发工程师
法律事务	法务
收银	编辑 销售 客服
电子设计	电子工程师,维修工,工程师
敏捷开发管理	项目经理，架构师，技术经理
ETL	软件测试工程师
html、jsp	java开发工程师
Operating Systems-UNIX/linux	软件工程师
3D设计	设计师,设计主管,室内设计师,工业设计
网站建设软件	教育咨询师
tcp/ip	软件工程师,linux软件工程师
